Position	AvgQ_T	TCount	MultiMapFrac	STAR_TC_Cov	STAR_TC_MM	STAR_TC_Rate	STAR_TC_Std	STAR_TA_Cov	STAR_TA_MM	STAR_TA_Rate	GEDI_TC_Cov	GEDI_TC_MM	GEDI_TC_Rate	GEDI_TC_Std	GEDI_TA_Cov	GEDI_TA_MM	GEDI_TA_Rate	STAR_TC_TA_Ratio	GEDI_TC_TA_Ratio
31	39.7303767282771	498184	0.21802164312853217	225603.0	475.251	0.21065810295075862	4.584913680620066	225603.0	914.384	0.4053066670212719	226752.0	288.0	0.12701100762066045	3.561596406951415	226752.0	328.0	0.14465142534575218	0.5197499081348754	0.8780487804878049
32	39.71782992140189	487798	0.21851941576349238	225346.0	409.168	0.18157322517373284	4.257270684519988	225346.0	724.687	0.3215885793402146	226700.0	265.0	0.11689457432730481	3.4169859659096224	226700.0	366.0	0.16144684605205117	0.5646134124111513	0.7240437158469946
33	39.697615908928334	489285	0.21845060309436473	228144.0	440.976	0.1932884494003787	4.392207248681039	228144.0	909.635	0.3987109018865278	229327.0	313.0	0.13648632738404112	3.691883560032917	229327.0	468.0	0.20407540324514778	0.4847834571009251	0.6688034188034188
34	39.670162886218996	467934	0.2178664836858697	229630.0	462.165	0.20126507860471193	4.481740758746029	229630.0	892.391	0.38862126028828986	227029.0	325.0	0.14315351783252359	3.7808542491855635	227029.0	498.0	0.21935523655568231	0.5178951827169929	0.6526104417670682
35	39.69269124378949	450446	0.21692570071774228	227620.0	651.771	0.2863417098673227	5.3434239408756	227620.0	968.725	0.4255887004656884	226639.0	357.0	0.15751922661148346	3.9657420937822048	226639.0	664.0	0.2929769368908264	0.6728132338899068	0.5376506024096386
36	39.69542758241244	448931	0.21600962152891182	218243.0	399.277	0.1829506559202357	4.273358708267061	218243.0	1112.83	0.5099040977259294	221393.0	305.0	0.13776406661457227	3.7091006623448552	221393.0	814.0	0.36767196794839946	0.358794245302517	0.37469287469287466
37	39.69578180536381	408516	0.21519621510747128	206419.0	458.511	0.22212635464758573	4.707790920095066	206419.0	1413.79	0.6849127260571943	218373.0	279.0	0.12776304762951465	3.5721116117237828	218373.0	935.0	0.4281664857834989	0.3243133704439839	0.2983957219251337
38	39.68369165491533	397827	0.21493147880393568	196797.0	502.583	0.255381433660066	5.047070802886395	196797.0	1825.21	0.9274582437740413	219213.0	388.0	0.17699680219695	4.2033739248022	219213.0	1427.0	0.6509650431315661	0.27535626037551847	0.27189908899789766
39	39.675901313964545	371319	0.2147462295656702	195802.0	593.015	0.30286462855333446	5.494973691666294	195802.0	2781.66	1.4206494315686253	217664.0	345.0	0.1585011761246692	3.9780642264340096	217664.0	2048.0	0.9408997353719494	0.21318744922096877	0.16845703125
40	39.6658797108569	356225	0.21487197793282492	187214.0	1370.8	0.7322101979552811	8.52554326841043	187214.0	4416.96	2.3593107353082567	209332.0	387.0	0.18487378900502552	4.2957188668069834	209332.0	2750.0	1.313702635048631	0.31034919944939504	0.14072727272727273
41	39.642470909352106	348050	0.21499448587934045	186676.0	2094.28	1.1218796203046992	10.532300230624596	186676.0	7060.84	3.7824037369560095	207695.0	295.0	0.14203519584005392	3.766078276821669	207695.0	3732.0	1.7968655961867162	0.29660493652313324	0.07904608788853161
42	39.61015039464327	341701	0.21504628655032315	186207.0	2912.96	1.5643665383148861	12.40924700234826	186207.0	11767.4	6.319526118781786	203628.0	356.0	0.1748286090321567	4.177594506492887	203628.0	4758.0	2.3366138252106783	0.24754491221510275	0.0748213535098781
43	39.59051807345205	331536	0.21507630631620617	191767.0	4223.96	2.2026521768604606	14.676973157767167	191767.0	17024.2	8.877544102999996	199245.0	289.0	0.14504755451830662	3.8057478448734514	199245.0	6260.0	3.1418605234761228	0.24811503624252526	0.04616613418530351
44	39.550197573906445	333293	0.2150454948949546	193135.0	6050.6	3.132834545784037	17.420355974753953	193135.0	20176.7	10.446941258705051	191813.0	387.0	0.20175900486411247	4.4872256228506595	191813.0	7558.0	3.940296017475354	0.29988055529397767	0.05120402222810267
45	39.48292611127465	326112	0.21509995955452096	188132.0	6780.59	3.604166223715264	18.639383257054305	188132.0	23733.1	12.615131928645843	183859.0	466.0	0.25345509330519583	5.028048313828859	183859.0	8791.0	4.781381384648018	0.28570182572019676	0.05300875895802526
46	39.43345771512037	338206	0.21553309512676253	182881.0	8107.68	4.433309091704442	20.583407873038297	182881.0	28475.8	15.570671638934607	176494.0	371.0	0.21020544607748703	4.579995445214773	176494.0	10169.0	5.761668951919045	0.28472176374324865	0.036483430032451566
47	39.392273376159885	336240	0.2164767710888781	183309.0	9248.53	5.045322379152142	21.88782675382919	183309.0	35573.3	19.406193913010274	169367.0	390.0	0.2302691787656391	4.7931090100136995	169367.0	11731.0	6.926378810512084	0.2599851574073814	0.03324524763447276
48	39.254969158924105	348399	0.21631787309773726	180028.0	10134.4	5.62934654609283	23.04875510897011	180028.0	43197.7	23.99498966827382	161286.0	417.0	0.2585469290576987	5.078173529059902	161286.0	13771.0	8.538248825068512	0.2346050831410006	0.030281025343112333
49	39.310210990785535	141191	0.2460369699961604	101896.0	4240.27	4.161370416895658	19.970479161576257	101896.0	4192.06	4.114057470361938	137565.0	393.0	0.2856831316105114	5.337293163145936	137565.0	0.0	0.0	1.0115003124955273	0
