Position0	AvgQ_T	TCount	MultiMapFrac	STAR_TC_Cov	STAR_TC_MM	STAR_TC_Rate	STAR_TC_Std	STAR_TC_Std_Smooth	STAR_TA_Cov	STAR_TA_MM	STAR_TA_Rate	GEDI_TC_Cov	GEDI_TC_MM	GEDI_TC_Rate	GEDI_TC_Std	GEDI_TA_Cov	GEDI_TA_MM	GEDI_TA_Rate	STAR_TC_TA_Ratio	GEDI_TC_TA_Ratio
34	38.973294987674606	19472	0.2617506451749376	229630.0	462.165	0.20126507860471193	4.481740758746029	4.392207248681039	229630.0	892.391	0.38862126028828986	227029.0	325.0	0.14315351783252359	3.7808542491855635	227029.0	498.0	0.21935523655568231	0.5178951827169929	0.6526104417670682
35	39.42560820874938	18127	0.267938010939246	227620.0	651.771	0.2863417098673227	5.3434239408756	4.481740758746029	227620.0	968.725	0.4255887004656884	226639.0	357.0	0.15751922661148346	3.9657420937822048	226639.0	664.0	0.2929769368908264	0.6728132338899068	0.5376506024096386
36	39.55863456058998	17899	0.27255721998327126	218243.0	399.277	0.1829506559202357	4.273358708267061	4.707790920095066	218243.0	1112.83	0.5099040977259294	221393.0	305.0	0.13776406661457227	3.7091006623448552	221393.0	814.0	0.36767196794839946	0.358794245302517	0.37469287469287466
37	39.57800467742855	17531	0.2744631556032405	206419.0	458.511	0.22212635464758573	4.707790920095066	5.047070802886395	206419.0	1413.79	0.6849127260571943	218373.0	279.0	0.12776304762951465	3.5721116117237828	218373.0	935.0	0.4281664857834989	0.3243133704439839	0.2983957219251337
38	39.57524314765694	16965	0.27555891667060545	196797.0	502.583	0.255381433660066	5.047070802886395	5.047070802886395	196797.0	1825.21	0.9274582437740413	219213.0	388.0	0.17699680219695	4.2033739248022	219213.0	1427.0	0.6509650431315661	0.27535626037551847	0.27189908899789766
39	39.59789649201565	15593	0.2764499149213619	195802.0	593.015	0.30286462855333446	5.494973691666294	5.494973691666294	195802.0	2781.66	1.4206494315686253	217664.0	345.0	0.1585011761246692	3.9780642264340096	217664.0	2048.0	0.9408997353719494	0.21318744922096877	0.16845703125
40	39.553735926305016	14655	0.27704401005395196	187214.0	1370.8	0.7322101979552811	8.52554326841043	8.52554326841043	187214.0	4416.96	2.3593107353082567	209332.0	387.0	0.18487378900502552	4.2957188668069834	209332.0	2750.0	1.313702635048631	0.31034919944939504	0.14072727272727273
41	39.57629838864993	15577	0.2780997271949507	186676.0	2094.28	1.1218796203046992	10.532300230624596	10.532300230624596	186676.0	7060.84	3.7824037369560095	207695.0	295.0	0.14203519584005392	3.766078276821669	207695.0	3732.0	1.7968655961867162	0.29660493652313324	0.07904608788853161
42	39.517857142857146	15232	0.2785839786555606	186207.0	2912.96	1.5643665383148861	12.40924700234826	12.40924700234826	186207.0	11767.4	6.319526118781786	203628.0	356.0	0.1748286090321567	4.177594506492887	203628.0	4758.0	2.3366138252106783	0.24754491221510275	0.0748213535098781
43	39.533465085639	15180	0.27900797165633306	191767.0	4223.96	2.2026521768604606	14.676973157767167	14.676973157767167	191767.0	17024.2	8.877544102999996	199245.0	289.0	0.14504755451830662	3.8057478448734514	199245.0	6260.0	3.1418605234761228	0.24811503624252526	0.04616613418530351
44	39.54268542548832	14642	0.27844811890693016	193135.0	6050.6	3.132834545784037	17.420355974753953	17.420355974753953	193135.0	20176.7	10.446941258705051	191813.0	387.0	0.20175900486411247	4.4872256228506595	191813.0	7558.0	3.940296017475354	0.29988055529397767	0.05120402222810267
45	39.4642757853767	14388	0.27780191864157505	188132.0	6780.59	3.604166223715264	18.639383257054305	18.639383257054305	188132.0	23733.1	12.615131928645843	183859.0	466.0	0.25345509330519583	5.028048313828859	183859.0	8791.0	4.781381384648018	0.28570182572019676	0.05300875895802526
46	39.44540353905913	13902	0.2776572300389897	182881.0	8107.68	4.433309091704442	20.583407873038297	20.583407873038297	182881.0	28475.8	15.570671638934607	176494.0	371.0	0.21020544607748703	4.579995445214773	176494.0	10169.0	5.761668951919045	0.28472176374324865	0.036483430032451566
47	39.36668319988663	14113	0.2798447048172844	183309.0	9248.53	5.045322379152142	21.88782675382919	20.583407873038297	183309.0	35573.3	19.406193913010274	169367.0	390.0	0.2302691787656391	4.7931090100136995	169367.0	11731.0	6.926378810512084	0.2599851574073814	0.03324524763447276
48	39.27487144326363	14585	0.2824986849980955	180028.0	10134.4	5.62934654609283	23.04875510897011	21.235617313433742	180028.0	43197.7	23.99498966827382	161286.0	417.0	0.2585469290576987	5.078173529059902	161286.0	13771.0	8.538248825068512	0.2346050831410006	0.030281025343112333
49	39.283920042455335	5653	0.3056624903758662	101896.0	4240.27	4.161370416895658	19.970479161576257	21.88782675382919	101896.0	4192.06	4.114057470361938	137565.0	393.0	0.2856831316105114	5.337293163145936	137565.0	0.0	0.0	1.0115003124955273	0
