bin	bin_center	count	cumulative	log1p_cum	dist
90	0.9090909090909092	51	1046.0	6.953684210870537	0.0032920055143466076
91	0.9191919191919192	56	995.0	6.903747257584598	0.0012380477779216914
92	0.9292929292929294	36	939.0	6.84587987526405	-0.002746226157426812
93	0.9393939393939394	31	903.0	6.806829360392176	-0.0021503564598572833
94	0.9494949494949496	52	872.0	6.771935555839602	-0.0005427173827800003
95	0.9595959595959597	33	820.0	6.710523109452428	-0.00538988216100289
96	0.9696969696969697	28	787.0	6.669498089857879	-0.005274619305055239
97	0.9797979797979799	27	759.0	6.633318433280377	-0.003979964680938197
98	0.98989898989899	22	732.0	6.597145701886651	-0.002683624423627129
99	1.0	710	710.0	6.566672429803241	0.0
