# 2026-09-13 attribution-trailer correction; commit trees, authors, dates and parent order preserved.
# Existing source-revision and binary-checksum provenance remains unchanged. See HISTORY_REWRITE_20260913.md.
old	new
18d2bf7fdcc84377bb9bf8adb61987599fea0a8a	2e5d56353c8b25f846dcf4c249c94d1737f6bb63
1936f94be467a1ff42c00042c2c0800d3503942e	1936f94be467a1ff42c00042c2c0800d3503942e
1949b7e481d7ab8d51052a5b6c9377363ef8678d	1949b7e481d7ab8d51052a5b6c9377363ef8678d
1977380a513c1aa3aa80d4ffbec1553bf744eef0	1977380a513c1aa3aa80d4ffbec1553bf744eef0
19bbcca4c01667238e81774dfc0ec5b86444ecd1	f97a26da20f1f2974841c6386293578489ba8059
19c9cf501da2e679465152742ee23ee7626811ca	8d910f385e904ea7ccf7442de0009d1d6f87f1fa
1aba5dc63adaa412909e9a3c1b549d33a7599ed6	36b271bcef2297d7a6267fef972c61dce228af6a
1b0c2d86f464cbfabbfef90a8a6091b22ce467ca	26b19ec973832d80b6b35b17551ee1feeee929f7
1b0daecf103ba27d415dca3fdb9d5d619f5a6673	1b0daecf103ba27d415dca3fdb9d5d619f5a6673
1b14074d8f4d5a66ff182fd2adffd5bf60ca4494	c6804691c9d7c981dc1106fca1129501a5b2c8fc
1b5b54242ff4ff60919eb2c884be3fccaa44c604	1b5b54242ff4ff60919eb2c884be3fccaa44c604
1b7aa4e08c1da5e8d3a975893a06afd0983705fd	07e9638dc777e2124c253cd190abbbcef162dc01
1bac9ed94a15b6ad7fe0e926767d93bc4fe31822	1bac9ed94a15b6ad7fe0e926767d93bc4fe31822
1be1765510590a03d041df0aabcc15f3a1f5f00f	d9bd2031031bb904a1af3d0b3d826a23a37201d1
1c24b0a6ef14d3ebe20560794c90385752e9f96c	eb0ffe7655b6fe8b4f72f6e0be15f6d9926999ca
1c2a6dcb69da9d6ee4f476b3c6051442b221c483	e85b16dd489e94e1f26d1ff5ce9d7e4603608d8a
1c352de03ed7b5b3637a621f0ed0093424e979f5	dc626e93f4ac013b2b113c7af4e1a8010f19701d
1c5799234842f4e03f3efe6d3978063ea67402f8	faa949e98d5bee1fefbc6fc910e6c08c958717c7
1d135f85d34189562351d334b8988366adcb53a2	1d135f85d34189562351d334b8988366adcb53a2
1da5b02cd8c4784b3246cd04ab9c10ded4ea745e	63e6c234fd745ed5673113a9f5bbfb307126a58c
1dd690a140926593a4b85873f63476b46c63ac60	1dd690a140926593a4b85873f63476b46c63ac60
1ddff387542790b210546de14a172c1e4e414c3d	1ddff387542790b210546de14a172c1e4e414c3d
1e9afd0031c2380a83781bace79d4a4bd0ac2df8	814a82b5da5a7faf7dbe18725cbd685d551d417f
1ea35605343381d3d4c98ff9bdf8013f76f3f8ff	7fc98752f27f0137e53408832777fa42e3966cdf
